plate,sample_code,dose,mean_inhibition,se
plate3,1-7,5,87.66876687668767,0.38975040674366995
plate3,1-7,50,85.86858685868587,0.5530245601910211
plate3,1-8,5,83.79837983798382,0.1800180018001806
plate3,1-8,50,83.61836183618362,0.2062365299260049
plate3,1-9,5,81.45814581458146,0.43400768501318515
plate3,1-9,50,83.25832583258325,0.27375168903232544
plate3,growth,50,7.500173321912169e-15,3.5382239443746086
plate3,media,5,100.0,0.04500450045004337
plate3,positive_control,5,97.11971197119712,0.2810530152294515
plate3,positive_control,50,99.36993699369935,0.1961700694662761
plate4,1-1,5,-48.10126582278479,1.0284810126582304
plate4,1-1,50,-17.761075949367065,2.8127753830891318
plate4,1-10,5,-47.86392405063289,1.0643689910659575
plate4,1-10,50,-6.724683544303785,0.8335169108269579
plate4,1-11,5,23.81329113924051,2.105456231356211
plate4,1-11,50,22.863924050632914,2.5177004178749303
plate4,1-12,5,-7.199367088607592,2.0462843601863248
plate4,1-12,50,29.984177215189877,0.920071467532675
plate4,1-13,5,-0.4746835443037926,1.3449367088607593
plate4,1-13,50,6.803797468354433,1.4859945420093523
plate4,1-14,5,11.867088607594942,2.0942787170805457
plate4,1-14,50,-6.487341772151889,0.13702933604184228
plate4,1-2,5,29.27215189873418,3.2443944083466114
plate4,1-2,50,-18.98734177215189,1.3466807381763592
plate4,1-3,5,-6.645569620253156,0.960020656606932
plate4,1-3,50,22.072784810126585,3.944406357334009
plate4,1-4,5,-1.2658227848101222,0.849139738291059
plate4,1-4,50,19.382911392405067,4.575117938805702
plate4,1-5,5,8.544303797468359,0.4561931406119782
plate4,1-5,50,19.303797468354432,2.498046424659325
plate4,1-6,5,88.92405063291139,0.5853895801799334
plate4,1-6,50,95.41139240506328,0.5321844955329794
plate4,1-7,5,6.091772151898741,0.9268492495142392
plate4,1-7,50,34.216772151898745,0.7960685046478676
plate4,1-8,5,12.9746835443038,0.06851466802092102
plate4,1-8,50,32.99050632911393,0.8029186364788145
plate4,1-9,5,-29.667721518987328,2.337880040472655
plate4,1-9,50,-13.053797468354423,0.486084087319798
plate4,growth,50,3.552713678800501e-15,3.734101788017449
plate4,media,5,99.99999999999999,0.03955696202531319
plate4,positive_control,5,99.5253164556962,0.10465788414021489
plate4,positive_control,50,99.7626582278481,0.10465788414021131
